"LAKE_ID","SAMPLE_DATE","chemical_name","strata","result_value","unit"
"1306STU0453A",2019-07-22,"ALKALINITY, TOTAL (AS CACO3)_TOTAL","BS",94,"mg/L"
"1306STU0453A",2019-07-22,"ARSENIC_TOTAL","BS",1.7,"ug/L"
"1306STU0453A",2019-07-22,"CALCIUM_TOTAL","BS",30.1,"mg/L"
"1306STU0453A",2019-07-22,"CHLORIDE_TOTAL","BS",40.5,"mg/L"
"1306STU0453A",2019-07-22,"IRON_TOTAL","BS",195,"ug/L"
"1306STU0453A",2019-07-22,"MANGANESE_TOTAL","BS",939,"ug/L"
"1306STU0453A",2019-07-22,"NITROGEN, AMMONIA (AS N)_TOTAL","BS",0.681,"mg/L"
"1306STU0453A",2019-07-22,"NITROGEN, NITRATE-NITRITE_TOTAL","BS",0.297,"mg/L"
"1306STU0453A",2019-07-22,"PH FOR COLOR ANALYSIS_NA","BS",7.32,"pH units"
"1306STU0453A",2019-07-22,"PHOSPHORUS, DISSOLVED_DISSOLVED","BS",0.102,"mg/L"
"1306STU0453A",2019-07-22,"PHOSPHORUS, TOTAL_TOTAL","BS",0.119,"mg/L"
"1306STU0453A",2019-07-22,"SULFATE (AS SO4)_TOTAL","BS",9,"mg/L"
"1306STU0453A",2019-07-22,"ALKALINITY, TOTAL (AS CACO3)_TOTAL","OW",129,"mg/L"
"1306STU0453A",2019-07-22,"CALCIUM_TOTAL","OW",43.3,"mg/L"
"1306STU0453A",2019-07-22,"CARBON, TOTAL ORGANIC_TOTAL","OW",6.2,"mg/L"
"1306STU0453A",2019-07-22,"CHLORIDE_TOTAL","OW",71.4,"mg/L"
"1306STU0453A",2019-07-22,"CHLOROPHYLL A_TOTAL","OW",51.5,"ug/L"
"1306STU0453A",2019-07-22,"IRON_TOTAL","OW",103,"ug/L"
"1306STU0453A",2019-07-22,"MANGANESE_TOTAL","OW",66.7,"ug/L"
"1306STU0453A",2019-07-22,"NITROGEN, AMMONIA (AS N)_TOTAL","OW",0.017,"mg/L"
"1306STU0453A",2019-07-22,"NITROGEN, KJELDAHL, TOTAL_TOTAL","OW",0.96,"mg/L"
"1306STU0453A",2019-07-22,"NITROGEN, NITRATE-NITRITE_TOTAL","OW",0.056,"mg/L"
"1306STU0453A",2019-07-22,"PH FOR COLOR ANALYSIS_NA","OW",8.36,"pH units"
"1306STU0453A",2019-07-22,"PHOSPHORUS, DISSOLVED_DISSOLVED","OW",0.0568,"mg/L"
"1306STU0453A",2019-07-22,"PHOSPHORUS, TOTAL_TOTAL","OW",0.105,"mg/L"
"1306STU0453A",2019-07-22,"SULFATE (AS SO4)_TOTAL","OW",15.8,"mg/L"
"1306STU0453A",2019-07-22,"TRUE COLOR_TOTAL","OW",55,"color units"
"1306STU0453A",2019-07-22,"DEPTH, SECCHI DISK DEPTH_NA","SD",0.9,"m"
"1306STU0453A",2019-08-12,"ALKALINITY, TOTAL (AS CACO3)_TOTAL","BS",78.8,"mg/L"
"1306STU0453A",2019-08-12,"ARSENIC_TOTAL","BS",1.5,"ug/L"
"1306STU0453A",2019-08-12,"CALCIUM_TOTAL","BS",32,"mg/L"
"1306STU0453A",2019-08-12,"CARBON, TOTAL ORGANIC_TOTAL","BS",8.1,"mg/L"
"1306STU0453A",2019-08-12,"CHLORIDE_TOTAL","BS",47.6,"mg/L"
"1306STU0453A",2019-08-12,"IRON_TOTAL","BS",310,"ug/L"
"1306STU0453A",2019-08-12,"MANGANESE_TOTAL","BS",136,"ug/L"
"1306STU0453A",2019-08-12,"NITROGEN, AMMONIA (AS N)_TOTAL","BS",0.2,"mg/L"
"1306STU0453A",2019-08-12,"NITROGEN, KJELDAHL, TOTAL_TOTAL","BS",0.78,"mg/L"
"1306STU0453A",2019-08-12,"NITROGEN, NITRATE-NITRITE_TOTAL","BS",0.903,"mg/L"
"1306STU0453A",2019-08-12,"PH FOR COLOR ANALYSIS_NA","BS",7.56,"pH units"
"1306STU0453A",2019-08-12,"PHOSPHORUS, DISSOLVED_DISSOLVED","BS",0.108,"mg/L"
"1306STU0453A",2019-08-12,"PHOSPHORUS, TOTAL_TOTAL","BS",0.129,"mg/L"
"1306STU0453A",2019-08-12,"SULFATE (AS SO4)_TOTAL","BS",18.2,"mg/L"
"1306STU0453A",2019-08-12,"TRUE COLOR_TOTAL","BS",100,"color units"
"1306STU0453A",2019-08-12,"ALKALINITY, TOTAL (AS CACO3)_TOTAL","OW",86.8,"mg/L"
"1306STU0453A",2019-08-12,"CALCIUM_TOTAL","OW",33.3,"mg/L"
"1306STU0453A",2019-08-12,"CARBON, TOTAL ORGANIC_TOTAL","OW",7.7,"mg/L"
"1306STU0453A",2019-08-12,"CHLOROPHYLL A_TOTAL","OW",5.02,"ug/L"
"1306STU0453A",2019-08-12,"IRON_TOTAL","OW",164,"ug/L"
"1306STU0453A",2019-08-12,"MANGANESE_TOTAL","OW",32.7,"ug/L"
"1306STU0453A",2019-08-12,"NITROGEN, AMMONIA (AS N)_TOTAL","OW",0.132,"mg/L"
"1306STU0453A",2019-08-12,"NITROGEN, KJELDAHL, TOTAL_TOTAL","OW",0.78,"mg/L"
"1306STU0453A",2019-08-12,"NITROGEN, NITRATE-NITRITE_TOTAL","OW",0.661,"mg/L"
